1,7
1,2
2,1
2,3
3,2
3,4
4,3
4,5
5,4
5,6
6,5
6,16
6,17
7,8
7,18
8,10
8,12
9,10
10,2
10,9
10,11
11,10
11,3
12,11
12,13
13,14
13,20
14,4
14,15
15,5
15,16
15,17
16,23
16,17
17,15
18,24
19,18
19,8
20,19
20,25
21,20
21,14
22,21
22,15
23,22
23,29
24,30
24,25
25,19
25,31
25,26
26,27
27,21
27,28
28,22
28,29
29,35
30,36
31,30
32,26
32,31
33,27
33,32
34,33
34,28
35,34
35,40
36,41
36,37
37,32
37,38
38,39
38,33
39,34
39,40
40,45
41,46
42,37
42,41
43,38
43,42
44,43
44,39
45,44
45,50
47,46
47,43
48,47
49,48
49,44
50,49
0,47
